"Protocol" "Study" "CellType"
"133" "MARS-seq" "GSE72857" "MEP"
"134" "MARS-seq" "GSE72857" "GMP"
"135" "MARS-seq" "GSE72857" "GMP"
"136" "MARS-seq" "GSE72857" "MEP"
"137" "MARS-seq" "GSE72857" "MEP"
"138" "MARS-seq" "GSE72857" "MEP"
"139" "MARS-seq" "GSE72857" "GMP"
"140" "MARS-seq" "GSE72857" "MEP"
"141" "MARS-seq" "GSE72857" "GMP"
"142" "MARS-seq" "GSE72857" "GMP"
"143" "MARS-seq" "GSE72857" "GMP"
"144" "MARS-seq" "GSE72857" "GMP"
"145" "MARS-seq" "GSE72857" "MEP"
"146" "MARS-seq" "GSE72857" "GMP"
"147" "MARS-seq" "GSE72857" "CMP"
"148" "MARS-seq" "GSE72857" "GMP"
"149" "MARS-seq" "GSE72857" "CMP"
"150" "MARS-seq" "GSE72857" "MEP"
"151" "MARS-seq" "GSE72857" "GMP"
"152" "MARS-seq" "GSE72857" "GMP"
"153" "MARS-seq" "GSE72857" "GMP"
"154" "MARS-seq" "GSE72857" "GMP"
"155" "MARS-seq" "GSE72857" "CMP"
"156" "MARS-seq" "GSE72857" "CMP"
"157" "MARS-seq" "GSE72857" "MEP"
"158" "MARS-seq" "GSE72857" "GMP"
"159" "MARS-seq" "GSE72857" "MEP"
"160" "MARS-seq" "GSE72857" "GMP"
"161" "MARS-seq" "GSE72857" "GMP"
"162" "MARS-seq" "GSE72857" "CMP"
"163" "MARS-seq" "GSE72857" "GMP"
"164" "MARS-seq" "GSE72857" "CMP"
"165" "MARS-seq" "GSE72857" "CMP"
"166" "MARS-seq" "GSE72857" "GMP"
"167" "MARS-seq" "GSE72857" "CMP"
"168" "MARS-seq" "GSE72857" "MEP"
"169" "MARS-seq" "GSE72857" "GMP"
"170" "MARS-seq" "GSE72857" "GMP"
"171" "MARS-seq" "GSE72857" "MEP"
"172" "MARS-seq" "GSE72857" "MEP"
"173" "MARS-seq" "GSE72857" "GMP"
"174" "MARS-seq" "GSE72857" "GMP"
"175" "MARS-seq" "GSE72857" "CMP"
"176" "MARS-seq" "GSE72857" "MEP"
"177" "MARS-seq" "GSE72857" "MEP"
"178" "MARS-seq" "GSE72857" "GMP"
"179" "MARS-seq" "GSE72857" "MEP"
"180" "MARS-seq" "GSE72857" "MEP"
"181" "MARS-seq" "GSE72857" "GMP"
"182" "MARS-seq" "GSE72857" "MEP"
"183" "MARS-seq" "GSE72857" "GMP"
"184" "MARS-seq" "GSE72857" "GMP"
"185" "MARS-seq" "GSE72857" "CMP"
"186" "MARS-seq" "GSE72857" "MEP"
"187" "MARS-seq" "GSE72857" "GMP"
"188" "MARS-seq" "GSE72857" "GMP"
"189" "MARS-seq" "GSE72857" "GMP"
"190" "MARS-seq" "GSE72857" "MEP"
"191" "MARS-seq" "GSE72857" "MEP"
"192" "MARS-seq" "GSE72857" "GMP"
"193" "MARS-seq" "GSE72857" "GMP"
"194" "MARS-seq" "GSE72857" "GMP"
"195" "MARS-seq" "GSE72857" "MEP"
"196" "MARS-seq" "GSE72857" "MEP"
"197" "MARS-seq" "GSE72857" "GMP"
"198" "MARS-seq" "GSE72857" "GMP"
"199" "MARS-seq" "GSE72857" "CMP"
"200" "MARS-seq" "GSE72857" "CMP"
"201" "MARS-seq" "GSE72857" "MEP"
"202" "MARS-seq" "GSE72857" "MEP"
"203" "MARS-seq" "GSE72857" "MEP"
"204" "MARS-seq" "GSE72857" "MEP"
"205" "MARS-seq" "GSE72857" "GMP"
"206" "MARS-seq" "GSE72857" "MEP"
"207" "MARS-seq" "GSE72857" "MEP"
"208" "MARS-seq" "GSE72857" "MEP"
"209" "MARS-seq" "GSE72857" "CMP"
"210" "MARS-seq" "GSE72857" "MEP"
"211" "MARS-seq" "GSE72857" "MEP"
"212" "MARS-seq" "GSE72857" "GMP"
"213" "MARS-seq" "GSE72857" "MEP"
"214" "MARS-seq" "GSE72857" "GMP"
"215" "MARS-seq" "GSE72857" "GMP"
